player_name,role,input_tokens,estimated_output_tokens,total_tokens,model
Bob,Impostor,2059,20,2079,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1653,20,1673,anthropic/claude-3-5-haiku
Dave,Crewmate,1810,20,1830,anthropic/claude-3-5-haiku
Alice,Crewmate,1669,20,1689,anthropic/claude-3-5-haiku
Charlie,Crewmate,1637,20,1657,anthropic/claude-3-5-haiku
Bob,Impostor,2049,20,2069,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1643,20,1663,anthropic/claude-3-5-haiku
Dave,Crewmate,1800,20,1820,anthropic/claude-3-5-haiku
Charlie,Crewmate,1627,20,1647,anthropic/claude-3-5-haiku
Bob,Impostor,2279,20,2299,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1871,20,1891,anthropic/claude-3-5-haiku
Dave,Crewmate,2029,20,2049,anthropic/claude-3-5-haiku
Charlie,Crewmate,2056,20,2076,anthropic/claude-3-5-haiku
Bob,Impostor,2142,20,2162,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1643,20,1663,anthropic/claude-3-5-haiku
Dave,Crewmate,1800,20,1820,anthropic/claude-3-5-haiku
Charlie,Crewmate,1828,20,1848,anthropic/claude-3-5-haiku
Bob,Impostor,2194,20,2214,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1786,20,1806,anthropic/claude-3-5-haiku
Dave,Crewmate,1800,20,1820,anthropic/claude-3-5-haiku
Charlie,Crewmate,1828,20,1848,anthropic/claude-3-5-haiku
Bob,Impostor,2236,20,2256,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1828,20,1848,anthropic/claude-3-5-haiku
Dave,Crewmate,1986,20,2006,anthropic/claude-3-5-haiku
Charlie,Crewmate,1828,20,1848,anthropic/claude-3-5-haiku
Bob,Impostor,2236,20,2256,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1828,20,1848,anthropic/claude-3-5-haiku
Dave,Crewmate,1986,20,2006,anthropic/claude-3-5-haiku
Charlie,Crewmate,1828,20,1848,anthropic/claude-3-5-haiku
Bob,Impostor,2940,20,2960,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2532,20,2552,anthropic/claude-3-5-haiku
Dave,Crewmate,2690,20,2710,anthropic/claude-3-5-haiku
Charlie,Crewmate,2717,20,2737,anthropic/claude-3-5-haiku
Bob,Impostor,2795,20,2815,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,1871,20,1891,anthropic/claude-3-5-haiku
Dave,Crewmate,2029,20,2049,anthropic/claude-3-5-haiku
Charlie,Crewmate,2056,20,2076,anthropic/claude-3-5-haiku
Bob,Impostor,2848,20,2868,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2440,20,2460,anthropic/claude-3-5-haiku
Dave,Crewmate,2029,20,2049,anthropic/claude-3-5-haiku
Charlie,Crewmate,2056,20,2076,anthropic/claude-3-5-haiku
Bob,Impostor,2894,20,2914,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2486,20,2506,anthropic/claude-3-5-haiku
Dave,Crewmate,2644,20,2664,anthropic/claude-3-5-haiku
Charlie,Crewmate,2056,20,2076,anthropic/claude-3-5-haiku
Bob,Impostor,2894,20,2914,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2486,20,2506,anthropic/claude-3-5-haiku
Dave,Crewmate,2644,20,2664,anthropic/claude-3-5-haiku
Charlie,Crewmate,2056,20,2076,anthropic/claude-3-5-haiku
Bob,Impostor,3373,20,3393,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2965,20,2985,anthropic/claude-3-5-haiku
Dave,Crewmate,3123,20,3143,anthropic/claude-3-5-haiku
Charlie,Crewmate,3150,20,3170,anthropic/claude-3-5-haiku
Bob,Impostor,3235,20,3255,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2532,20,2552,anthropic/claude-3-5-haiku
Dave,Crewmate,2690,20,2710,anthropic/claude-3-5-haiku
Charlie,Crewmate,2717,20,2737,anthropic/claude-3-5-haiku
Bob,Impostor,3275,20,3295,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2867,20,2887,anthropic/claude-3-5-haiku
Dave,Crewmate,2690,20,2710,anthropic/claude-3-5-haiku
Charlie,Crewmate,2717,20,2737,anthropic/claude-3-5-haiku
Bob,Impostor,3324,20,3344,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2916,20,2936,anthropic/claude-3-5-haiku
Dave,Crewmate,3074,20,3094,anthropic/claude-3-5-haiku
Charlie,Crewmate,2717,20,2737,anthropic/claude-3-5-haiku
Bob,Impostor,3324,20,3344,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2916,20,2936,anthropic/claude-3-5-haiku
Dave,Crewmate,3074,20,3094,anthropic/claude-3-5-haiku
Charlie,Crewmate,2717,20,2737,anthropic/claude-3-5-haiku
Bob,Impostor,3872,20,3892,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3464,20,3484,anthropic/claude-3-5-haiku
Dave,Crewmate,3622,20,3642,anthropic/claude-3-5-haiku
Charlie,Crewmate,3649,20,3669,anthropic/claude-3-5-haiku
Bob,Impostor,3722,20,3742,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,2965,20,2985,anthropic/claude-3-5-haiku
Dave,Crewmate,3123,20,3143,anthropic/claude-3-5-haiku
Charlie,Crewmate,3150,20,3170,anthropic/claude-3-5-haiku
Bob,Impostor,3774,20,3794,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3366,20,3386,anthropic/claude-3-5-haiku
Dave,Crewmate,3123,20,3143,anthropic/claude-3-5-haiku
Charlie,Crewmate,3150,20,3170,anthropic/claude-3-5-haiku
Bob,Impostor,3816,20,3836,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3408,20,3428,anthropic/claude-3-5-haiku
Dave,Crewmate,3566,20,3586,anthropic/claude-3-5-haiku
Charlie,Crewmate,3150,20,3170,anthropic/claude-3-5-haiku
Bob,Impostor,3816,20,3836,meta-llama/llama-3.1-8b-instruct
Erin,Crewmate,3408,20,3428,anthropic/claude-3-5-haiku
Dave,Crewmate,3566,20,3586,anthropic/claude-3-5-haiku
Charlie,Crewmate,3150,20,3170,anthropic/claude-3-5-haiku
